id,code,name,user_type_id:id,group_id:id,reconcile,chart_template_id:id
011001,011001,spese modifica statuto,account.data_account_type_current_assets,011,FALSE,l10n_chart_it_cdo
011002,011002,"costi di ricerca, sviluppo e di pubblicità",account.data_account_type_current_assets,011,FALSE,l10n_chart_it_cdo
011003,011003,diritti di brevetto e utilizzazione opere ingegno,account.data_account_type_current_assets,011,FALSE,l10n_chart_it_cdo
011004,011004,spese manutenzioni da ammortizzare,account.data_account_type_current_assets,011,FALSE,l10n_chart_it_cdo
011005,011005,oneri pluriennali,account.data_account_type_current_assets,011,FALSE,l10n_chart_it_cdo
011006,011006,altre,account.data_account_type_current_assets,011,FALSE,l10n_chart_it_cdo
012001,012001,terreni e fabbricati,account.data_account_type_current_assets,012,FALSE,l10n_chart_it_cdo
012002,012002,impianti e attrezzature,account.data_account_type_current_assets,012,FALSE,l10n_chart_it_cdo
012003,012003,altri beni,account.data_account_type_current_assets,012,FALSE,l10n_chart_it_cdo
012004,012004,immobilizzazioni in corso e acconti,account.data_account_type_current_assets,012,FALSE,l10n_chart_it_cdo
012005,012005,terreni e fabbricati relativi all'attività istituzionale,account.data_account_type_current_assets,012,FALSE,l10n_chart_it_cdo
012006,012006,mobili ed arredi,account.data_account_type_current_assets,012,FALSE,l10n_chart_it_cdo
012007,012007,macchine uff. elettroniche,account.data_account_type_current_assets,012,FALSE,l10n_chart_it_cdo
012100,012100,fondo ammortamento impianti e attrezzature,account.data_account_type_current_assets,012,FALSE,l10n_chart_it_cdo
012101,012101,fondo ammortamento imm.altri beni,account.data_account_type_current_assets,012,FALSE,l10n_chart_it_cdo
013001,013001,partecipazioni,account.data_account_type_current_assets,013,FALSE,l10n_chart_it_cdo
013002,013002,crediti,account.data_account_type_current_assets,013,FALSE,l10n_chart_it_cdo
013003,013003,altri titoli,account.data_account_type_current_assets,013,FALSE,l10n_chart_it_cdo
021001,021001,"materie prime, sussidiarie e di consumo",account.data_account_type_current_assets,021,FALSE,l10n_chart_it_cdo
021002,021002,prodotti in corso di lavorazione e semilavorati,account.data_account_type_current_assets,021,FALSE,l10n_chart_it_cdo
021003,021003,lavori in corso su ordinazione,account.data_account_type_current_assets,021,FALSE,l10n_chart_it_cdo
021004,021004,prodotti finiti e merci,account.data_account_type_current_assets,021,FALSE,l10n_chart_it_cdo
021005,021005,acconti,account.data_account_type_current_assets,021,FALSE,l10n_chart_it_cdo
022000,022000,Crediti verso clienti,account.data_account_type_receivable,022,True,l10n_chart_it_cdo
023001,023001,crediti Ires,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
023002,023002,crediti Irap,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
023003,023003,acconti Ires,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
023004,023004,acconti Irap,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
023005,023005,crediti verso enti previdenziali,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
023006,023006,altri crediti,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
023007,023007,Crediti per fatture da emettere,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
023008,023008,acconti Inail,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
023009,023009,iva c/acquisti,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
023010,023010,iva c/acquisti UE,account.data_account_type_current_assets,023,FALSE,l10n_chart_it_cdo
024001,024001,partecipazioni,account.data_account_type_current_assets,024,FALSE,l10n_chart_it_cdo
